Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,23,5/29/2016,6/4/2016,13960,323
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,18,4/24/2016,4/30/2016,13884,660
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,22,5/22/2016,5/28/2016,2576,64
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,5,1/24/2016,1/30/2016,1199,34
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,31,7/24/2016,7/30/2016,65004,1490
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,12,3/13/2016,3/19/2016,263153,5660
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,9,2/21/2016,2/27/2016,5043,118
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,49,11/27/2016,12/3/2016,54359,1270
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,46,11/6/2016,11/12/2016,16270,352
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,21,5/15/2016,5/21/2016,603,16
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,10,2/28/2016,3/5/2016,11908,299
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,12,3/13/2016,3/19/2016,16571,339
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,27,6/26/2016,7/2/2016,5347,117
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,14,3/27/2016,4/2/2016,6590,140
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,3,1/10/2016,1/16/2016,2424,53
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,53,12/25/2016,12/31/2016,127275,3223
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,47,11/13/2016,11/19/2016,229015,4853
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,39,9/18/2016,9/24/2016,232416,5429
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,53,12/25/2016,12/31/2016,44200,1232
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,42,10/9/2016,10/15/2016,5988,136
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,11,3/6/2016,3/12/2016,5624,112
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,42,10/9/2016,10/15/2016,64406,2613
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,20,5/8/2016,5/14/2016,8247,212
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,7,2/7/2016,2/13/2016,784,19
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,49,11/27/2016,12/3/2016,60154,2290
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,13,3/20/2016,3/26/2016,3,2
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,8,2/14/2016,2/20/2016,2240,41
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,47,11/13/2016,11/19/2016,113341,2353
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,52,12/18/2016,12/24/2016,9761,431
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,6,1/31/2016,2/6/2016,127076,2813
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,39,9/18/2016,9/24/2016,56372,1359
B02404,2,WOODSIDE CAR & LIMO INC.,UBER-KUCHEN LLC,2016,2,1/3/2016,1/9/2016,1,1
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,9,2/21/2016,2/27/2016,8235,207
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,30,7/17/2016,7/23/2016,12706,278
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,22,5/22/2016,5/28/2016,11355,277
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,37,9/4/2016,9/10/2016,10364,200
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,35,8/21/2016,8/27/2016,52436,1329
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,45,10/30/2016,11/5/2016,158712,3467
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,23,5/29/2016,6/4/2016,13567,637
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,18,4/24/2016,4/30/2016,248443,5673
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,11,3/6/2016,3/12/2016,4495,119
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,15,4/3/2016,4/9/2016,16963,714
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,53,12/25/2016,12/31/2016,20530,549
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,30,7/17/2016,7/23/2016,28241,606
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,4,1/17/2016,1/23/2016,334,6
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,33,8/7/2016,8/13/2016,12688,546
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,17,4/17/2016,4/23/2016,6381,158
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,35,8/21/2016,8/27/2016,8170,163
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,28,7/3/2016,7/9/2016,219982,5156
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,45,10/30/2016,11/5/2016,228685,5179
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,13,3/20/2016,3/26/2016,2856,58
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,35,8/21/2016,8/27/2016,17080,372
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,1,1/1/2016,1/2/2016,80344,6234
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,37,9/4/2016,9/10/2016,11712,203
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,17,4/17/2016,4/23/2016,1469,35
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,24,6/5/2016,6/11/2016,2918,59
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,25,6/12/2016,6/18/2016,49118,1124
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,23,5/29/2016,6/4/2016,1162,30
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,42,10/9/2016,10/15/2016,104606,2539
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,22,5/22/2016,5/28/2016,70120,1630
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,1,1/1/2016,1/2/2016,4337,298
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,9,2/21/2016,2/27/2016,13836,311
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,22,5/22/2016,5/28/2016,46014,1140
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,37,9/4/2016,9/10/2016,3808,82
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,12,3/13/2016,3/19/2016,15403,703
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,29,7/10/2016,7/16/2016,12286,281
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,42,10/9/2016,10/15/2016,4969,98
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,50,12/4/2016,12/10/2016,16198,325
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,41,10/2/2016,10/8/2016,17020,332
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,35,8/21/2016,8/27/2016,5039,94
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,27,6/26/2016,7/2/2016,15624,375
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,44,10/23/2016,10/29/2016,335262,8419
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,5,1/24/2016,1/30/2016,6537,184
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,51,12/11/2016,12/17/2016,30757,530
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,6,1/31/2016,2/6/2016,2117,54
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,7,2/7/2016,2/13/2016,53184,1110
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,3,1/10/2016,1/16/2016,20533,518
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,31,7/24/2016,7/30/2016,145223,3078
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,38,9/11/2016,9/17/2016,22397,473
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,19,5/1/2016,5/7/2016,81390,1865
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,2,1/3/2016,1/9/2016,530,16
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,48,11/20/2016,11/26/2016,8366,177
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,19,5/1/2016,5/7/2016,1315,29
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,4,1/17/2016,1/23/2016,2777,69
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,34,8/14/2016,8/20/2016,57054,1337
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,46,11/6/2016,11/12/2016,11404,281
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,46,11/6/2016,11/12/2016,8831,163
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,49,11/27/2016,12/3/2016,17333,390
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,36,8/28/2016,9/3/2016,13535,243
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,17,4/17/2016,4/23/2016,779,19
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,21,5/15/2016,5/21/2016,8928,214
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,47,11/13/2016,11/19/2016,80083,1712
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,46,11/6/2016,11/12/2016,26588,577
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,37,9/4/2016,9/10/2016,58629,1396
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,39,9/18/2016,9/24/2016,2086,48
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,46,11/6/2016,11/12/2016,136064,3109
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,43,10/16/2016,10/22/2016,21427,492
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,13,3/20/2016,3/26/2016,14512,697
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,17,4/17/2016,4/23/2016,2946,59
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,12,3/13/2016,3/19/2016,9509,229
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,12,3/13/2016,3/19/2016,3464,87
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,48,11/20/2016,11/26/2016,21823,440
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,25,6/12/2016,6/18/2016,2934,63
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,47,11/13/2016,11/19/2016,10128,180
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,9,2/21/2016,2/27/2016,5568,105
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,33,8/7/2016,8/13/2016,58592,1361
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,38,9/11/2016,9/17/2016,11640,208
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,2,1/3/2016,1/9/2016,18287,524
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,22,5/22/2016,5/28/2016,229222,5250
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,52,12/18/2016,12/24/2016,13863,275
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,8,2/14/2016,2/20/2016,2144,37
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,28,7/3/2016,7/9/2016,8880,250
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,51,12/11/2016,12/17/2016,60920,1241
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,16,4/10/2016,4/16/2016,7357,162
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,12,3/13/2016,3/19/2016,68795,1737
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,17,4/17/2016,4/23/2016,290528,7374
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,37,9/4/2016,9/10/2016,56981,1429
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,15,4/3/2016,4/9/2016,282859,5676
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,23,5/29/2016,6/4/2016,1307,27
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,36,8/28/2016,9/3/2016,206441,4975
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,40,9/25/2016,10/1/2016,4765,95
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,49,11/27/2016,12/3/2016,327458,8474
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,24,6/5/2016,6/11/2016,51423,1141
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,41,10/2/2016,10/8/2016,4142,103
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,10,2/28/2016,3/5/2016,128536,2636
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,21,5/15/2016,5/21/2016,10033,228
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,1,1/1/2016,1/2/2016,13,1
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,5,1/24/2016,1/30/2016,891,18
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,10,2/28/2016,3/5/2016,4895,122
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,18,4/24/2016,4/30/2016,116803,2447
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,24,6/5/2016,6/11/2016,1702,33
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,7,2/7/2016,2/13/2016,10038,230
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,34,8/14/2016,8/20/2016,1963,43
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,35,8/21/2016,8/27/2016,20286,464
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,22,5/22/2016,5/28/2016,10510,248
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,20,5/8/2016,5/14/2016,51337,1133
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,33,8/7/2016,8/13/2016,13110,294
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,46,11/6/2016,11/12/2016,316572,8286
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,28,7/3/2016,7/9/2016,24834,603
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,47,11/13/2016,11/19/2016,18220,377
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,1,1/1/2016,1/2/2016,159,13
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,11,3/6/2016,3/12/2016,254919,5633
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,6,1/31/2016,2/6/2016,65061,1566
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,27,6/26/2016,7/2/2016,11845,584
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,26,6/19/2016,6/25/2016,1885,41
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,24,6/5/2016,6/11/2016,1365,35
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,45,10/30/2016,11/5/2016,19476,389
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,43,10/16/2016,10/22/2016,18053,408
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,18,4/24/2016,4/30/2016,14627,331
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,11,3/6/2016,3/12/2016,2967,60
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,7,2/7/2016,2/13/2016,5838,108
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,50,12/4/2016,12/10/2016,366718,8538
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,50,12/4/2016,12/10/2016,30456,582
