Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,32,7/31/2016,8/6/2016,6124,140
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,33,8/7/2016,8/13/2016,59401,1420
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,15,4/3/2016,4/9/2016,24201,494
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,1,1/1/2016,1/2/2016,15704,1170
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,39,9/18/2016,9/24/2016,51610,1371
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,42,10/9/2016,10/15/2016,18441,429
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,30,7/17/2016,7/23/2016,254070,5167
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,29,7/10/2016,7/16/2016,61845,1395
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,36,8/28/2016,9/3/2016,115198,2944
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,8,2/14/2016,2/20/2016,35605,749
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,42,10/9/2016,10/15/2016,128163,2977
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,34,8/14/2016,8/20/2016,10945,196
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,44,10/23/2016,10/29/2016,5072,110
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,51,12/11/2016,12/17/2016,153532,3036
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,22,5/22/2016,5/28/2016,3131,61
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,41,10/2/2016,10/8/2016,12422,315
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,47,11/13/2016,11/19/2016,21379,455
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,1,1/1/2016,1/2/2016,101,7
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,50,12/4/2016,12/10/2016,250861,4819
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,37,9/4/2016,9/10/2016,13659,320
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,38,9/11/2016,9/17/2016,57227,1348
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,48,11/20/2016,11/26/2016,10139,186
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,27,6/26/2016,7/2/2016,25113,638
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,2,1/3/2016,1/9/2016,1024,34
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,36,8/28/2016,9/3/2016,19814,463
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,9,2/21/2016,2/27/2016,1901,38
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,17,4/17/2016,4/23/2016,77249,1662
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,7,2/7/2016,2/13/2016,89078,1779
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,15,4/3/2016,4/9/2016,1200,31
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,35,8/21/2016,8/27/2016,10408,268
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,2,1/3/2016,1/9/2016,460,17
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,52,12/18/2016,12/24/2016,120604,2935
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,19,5/1/2016,5/7/2016,126401,2593
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,11,3/6/2016,3/12/2016,1995,38
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,32,7/31/2016,8/6/2016,5210,99
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,35,8/21/2016,8/27/2016,117410,2977
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,13,3/20/2016,3/26/2016,68515,1726
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,8,2/14/2016,2/20/2016,16634,707
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,12,3/13/2016,3/19/2016,1519,33
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,1,1/1/2016,1/2/2016,601,37
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,45,10/30/2016,11/5/2016,54580,1384
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,47,11/13/2016,11/19/2016,19987,1689
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,13,3/20/2016,3/26/2016,1158,24
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,24,6/5/2016,6/11/2016,75868,1853
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,30,7/17/2016,7/23/2016,5579,113
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,15,4/3/2016,4/9/2016,12889,287
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,47,11/13/2016,11/19/2016,141805,3156
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,14,3/27/2016,4/2/2016,69686,1821
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,19,5/1/2016,5/7/2016,2502,51
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,42,10/9/2016,10/15/2016,284847,8162
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,27,6/26/2016,7/2/2016,2481,54
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,9,2/21/2016,2/27/2016,326176,7715
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,15,4/3/2016,4/9/2016,7672,193
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,4,1/17/2016,1/23/2016,2919,89
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,36,8/28/2016,9/3/2016,10134,506
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,25,6/12/2016,6/18/2016,2692,56
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,3,1/10/2016,1/16/2016,639,12
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,51,12/11/2016,12/17/2016,14458,249
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,51,12/11/2016,12/17/2016,14660,301
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,18,4/24/2016,4/30/2016,2040,45
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,9,2/21/2016,2/27/2016,2019,43
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,30,7/17/2016,7/23/2016,10439,259
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,31,7/24/2016,7/30/2016,14579,306
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,14,3/27/2016,4/2/2016,1358,23
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,36,8/28/2016,9/3/2016,23483,576
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,49,11/27/2016,12/3/2016,57499,1320
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,8,2/14/2016,2/20/2016,87901,1769
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,10,2/28/2016,3/5/2016,16771,349
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,11,3/6/2016,3/12/2016,1795,36
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,20,5/8/2016,5/14/2016,257412,5628
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,7,2/7/2016,2/13/2016,138562,2698
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,8,2/14/2016,2/20/2016,844,18
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,7,2/7/2016,2/13/2016,8812,215
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,47,11/13/2016,11/19/2016,27361,590
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,37,9/4/2016,9/10/2016,19356,397
